"","y","V1","V2","V3","V4","width","peakdist","frame","file","try","peakNum","mean(width)","max(width)"
"129",261,1.02123453042019,68,57,81,24,17,2,185,285,2,39.5267857142857,149
"130",261,0.367835354460715,85,81,136,55,17,2,185,302,2,39.5267857142857,149
"131",262,0.203383029006546,33,1,35,34,NA,2,185,250,3,30.40625,36
"132",262,0.563000970564182,51,35,57,22,18,2,185,268,1,22.1951219512195,58
"133",262,1.01287981703369,68,57,81,24,17,2,185,285,2,39.5267857142857,149
"134",262,0.347484951062885,85,81,136,55,17,2,185,302,2,39.5267857142857,149
"135",263,0.204060122579972,33,1,35,34,NA,2,185,250,3,30.40625,36
"136",263,0.525682845471477,51,35,57,22,18,2,185,268,1,22.1951219512195,58
"137",263,0.995873361106159,68,57,81,24,17,2,185,285,2,39.5267857142857,149
"138",263,0.330230187620111,85,81,136,55,17,2,185,302,2,39.5267857142857,149
"139",264,0.204057144878064,33,1,35,34,NA,2,185,250,3,30.40625,36
"140",264,0.475180842854538,51,35,57,22,18,2,185,268,1,22.1951219512195,58
"141",264,0.976630826780842,68,57,81,24,17,2,185,285,2,39.5267857142857,149
"142",264,0.325825566054617,86,81,135,54,18,2,185,303,2,39.5267857142857,149
"143",265,0.214914614749695,34,1,36,35,NA,2,185,251,3,30.40625,36
"144",265,0.39793398718818,51,36,56,20,17,2,185,268,1,22.1951219512195,58
"145",265,0.926978011945575,68,56,82,26,17,2,185,285,2,39.5267857142857,149
"146",265,0.29731599225222,85,82,162,80,17,2,185,302,2,39.5267857142857,149
"147",266,0.21489099434963,34,1,36,35,NA,2,185,251,3,30.40625,36
"148",266,0.375326797088749,51,36,56,20,17,2,185,268,1,22.1951219512195,58
"149",266,0.814048313813092,68,56,83,27,17,2,185,285,2,39.5267857142857,149
"150",266,0.283381119855974,86,83,110,27,18,2,185,303,2,39.5267857142857,149
"151",267,0.217353430135767,34,1,36,35,NA,2,185,251,3,30.40625,36
"152",267,0.342883393252727,51,36,56,20,17,2,185,268,1,22.1951219512195,58
"153",267,0.658403084290106,68,56,84,28,17,2,185,285,2,39.5267857142857,149
"154",267,0.26167911202299,87,84,110,26,19,2,185,304,2,39.5267857142857,149
"155",268,0.216751911469473,34,1,37,36,NA,2,185,251,3,30.40625,36
"156",268,0.31103610719238,51,37,55,18,17,2,185,268,1,22.1951219512195,58
"157",268,0.545234077398473,68,55,85,30,17,2,185,285,2,39.5267857142857,149
"158",268,0.247821048019481,88,85,109,24,20,2,185,305,2,39.5267857142857,149
"159",269,0.213968934147952,34,1,37,36,NA,2,185,251,3,30.40625,36
"160",269,0.285262341652963,51,37,55,18,17,2,185,268,1,22.1951219512195,58
"161",269,0.485093911867818,68,55,85,30,17,2,185,285,2,39.5267857142857,149
"162",269,0.236577288323885,88,85,109,24,20,2,185,305,2,39.5267857142857,149
"163",270,0.212004230078091,33,1,37,36,NA,2,185,250,3,30.40625,36
"164",270,0.263239131409034,51,37,54,17,18,2,185,268,1,22.1951219512195,58
"165",270,0.434509240956062,68,54,86,32,17,2,185,285,2,39.5267857142857,149
"166",270,0.220444758713035,89,86,108,22,21,2,185,306,2,39.5267857142857,149
"167",271,0.208219016558872,33,1,37,36,NA,2,185,250,3,30.40625,36
"168",271,0.246761220822952,51,37,54,17,18,2,185,268,1,22.1951219512195,58
"169",271,0.383487411577187,69,54,87,33,18,2,185,286,2,39.5267857142857,149
"170",271,0.203873689923779,90,87,108,21,21,2,185,307,2,39.5267857142857,149
"171",272,0.206737376771028,33,1,37,36,NA,2,185,250,3,30.40625,36
"172",272,0.234191639335436,51,37,53,16,18,2,185,268,1,22.1951219512195,58
"173",272,0.353527303167956,69,53,87,34,18,2,185,286,2,39.5267857142857,149
"174",273,0.323494249895245,69,38,88,50,NA,2,185,286,2,39.5267857142857,149
"175",274,0.305062279703318,69,38,88,50,NA,2,185,286,2,39.5267857142857,149
"176",275,0.280182641793104,69,38,76,38,NA,2,185,286,2,39.5267857142857,149
"177",275,0.225412359692711,77,76,88,12,8,2,185,294,2,39.5267857142857,149
"178",276,0.259466775865941,69,38,75,37,NA,2,185,286,2,39.5267857142857,149
"179",276,0.217639700291045,77,75,88,13,8,2,185,294,2,39.5267857142857,149
"180",277,0.213324909185993,59,38,62,24,NA,2,185,276,1,22.1951219512195,58
"181",277,0.241465234225394,69,62,76,14,10,2,185,286,2,39.5267857142857,149
"182",277,0.209706994591239,77,76,89,13,8,2,185,294,2,39.5267857142857,149
"183",278,0.204887391312589,54,38,62,24,NA,2,185,271,1,22.1951219512195,58
"184",278,0.225823362564095,69,62,90,28,15,2,185,286,2,39.5267857142857,149
"185",279,0.208926831360882,69,63,75,12,NA,2,185,286,2,39.5267857142857,149
"186",228,0.595974355687651,72,1,144,143,NA,3,183,289,2,45.6,146
"187",229,0.499201527846579,71,1,144,143,NA,3,183,288,2,45.6,146
"188",230,0.44841293209369,71,1,144,143,NA,3,183,288,2,45.6,146
"189",231,0.405219178454576,73,1,144,143,NA,3,183,290,2,45.6,146
"190",232,0.373019299567242,73,1,144,143,NA,3,183,290,2,45.6,146
"191",233,0.335098953640908,73,3,148,145,NA,3,183,290,2,45.6,146
"192",234,0.318506749483009,73,3,149,146,NA,3,183,290,2,45.6,146
"193",235,0.303119389624058,72,1,97,96,NA,3,183,289,2,45.6,146
"194",236,0.209211931206116,52,35,53,18,NA,3,183,269,1,22.1777777777778,57
"195",236,0.302472657393402,69,53,82,29,17,3,183,286,2,45.6,146
"196",236,0.281153947414119,85,82,97,15,16,3,183,302,2,45.6,146
"197",237,0.228652088292539,51,36,54,18,NA,3,183,268,1,22.1777777777778,57
"198",237,0.30851586183618,69,54,81,27,18,3,183,286,2,45.6,146
"199",237,0.309642008550169,86,81,97,16,17,3,183,303,2,45.6,146
"200",237,0.213137643315423,101,97,148,51,15,3,183,318,2,45.6,146
"201",238,0.249051789299711,51,37,55,18,NA,3,183,268,1,22.1777777777778,57
"202",238,0.314381974202396,68,55,80,25,17,3,183,285,2,45.6,146
"203",238,0.342744958122899,86,80,96,16,18,3,183,303,2,45.6,146
"204",238,0.233632817901996,101,96,150,54,15,3,183,318,2,45.6,146
"205",239,0.204129169709759,32,1,37,36,NA,3,183,249,3,32.6428571428571,37
"206",239,0.27125008087716,50,37,55,18,18,3,183,267,1,22.1777777777778,57
"207",239,0.32205636243526,68,55,74,19,18,3,183,285,2,45.6,146
"208",239,0.296390142140957,75,74,80,6,7,3,183,292,2,45.6,146
"209",239,0.376046205384467,86,80,96,16,11,3,183,303,2,45.6,146
"210",239,0.250058033796461,101,96,183,87,15,3,183,318,2,45.6,146
"211",240,0.220800839274675,32,1,37,36,NA,3,183,249,3,32.6428571428571,37
"212",240,0.287411583971821,50,37,56,19,18,3,183,267,1,22.1777777777778,57
"213",240,0.330837404204779,68,56,74,18,18,3,183,285,2,45.6,146
"214",240,0.302993185334838,76,74,80,6,8,3,183,293,2,45.6,146
"215",240,0.39979154668985,86,80,96,16,10,3,183,303,2,45.6,146
"216",240,0.257778612742543,101,96,184,88,15,3,183,318,2,45.6,146
"217",241,0.256832709833349,32,10,37,27,NA,3,183,249,3,32.6428571428571,37
"218",241,0.314052314973528,50,37,55,18,18,3,183,267,1,22.1777777777778,57
"219",241,0.344909467169027,68,55,73,18,18,3,183,285,2,45.6,146
"220",241,0.307161939561618,77,73,79,6,9,3,183,294,2,45.6,146
"221",241,0.446223481577525,86,79,96,17,9,3,183,303,2,45.6,146
"222",241,0.272178176584769,101,96,123,27,15,3,183,318,2,45.6,146
"223",242,0.275647469422305,32,10,37,27,NA,3,183,249,3,32.6428571428571,37
"224",242,0.337241420824904,50,37,56,19,18,3,183,267,1,22.1777777777778,57
"225",242,0.353809142687125,68,56,74,18,18,3,183,285,2,45.6,146
"226",242,0.311358321501318,76,74,79,5,8,3,183,293,2,45.6,146
"227",242,0.468323037802218,86,79,97,18,10,3,183,303,2,45.6,146
"228",242,0.279047758666129,101,97,123,26,15,3,183,318,2,45.6,146
"229",243,0.29509401709159,32,10,37,27,NA,3,183,249,3,32.6428571428571,37
"230",243,0.23100715477944,42,37,43,6,10,3,183,259,1,22.1777777777778,57
"231",243,0.364482650790873,50,43,56,13,8,3,183,267,1,22.1777777777778,57
"232",243,0.365661655669071,68,56,74,18,18,3,183,285,2,45.6,146
"233",243,0.314952926797569,77,74,79,5,9,3,183,294,2,45.6,146
"234",243,0.504154932156278,86,79,96,17,9,3,183,303,2,45.6,146
"235",243,0.289537593815513,101,96,123,27,15,3,183,318,2,45.6,146
