"","x","V1","V2","V3","V4","widthsy","frame","file","peakNum","maxL"
"373",240,0.163143676660054,58,53,127,74,1,282,3,132
"374",241,0.266091194456312,21,6,54,48,1,282,3,132
"375",241,0.173261873047975,60,54,94,40,1,282,3,132
"376",242,0.274043328631725,21,6,29,23,1,282,3,132
"377",242,0.258998543411515,33,29,53,24,1,282,3,132
"378",242,0.181281395861128,59,53,95,42,1,282,3,132
"379",243,0.280941004069422,24,6,30,24,1,282,3,132
"380",243,0.268614375557092,34,30,52,22,1,282,3,132
"381",243,0.189427222710408,59,52,106,54,1,282,3,132
"382",244,0.295920345132794,27,6,52,46,1,282,3,132
"383",244,0.188320450253419,59,52,134,82,1,282,3,132
"384",245,0.343656502702201,29,6,54,48,1,282,3,132
"385",245,0.17604045782182,59,54,136,82,1,282,3,132
"386",246,0.428182028371162,28,6,98,92,1,282,3,132
"387",247,0.643191289238493,29,5,98,93,1,282,3,132
"388",248,0.939654307237405,29,5,98,93,1,282,3,132
"389",249,1.00557984850745,29,5,102,97,1,282,3,132
"390",250,0.987373903672231,29,6,103,97,1,282,3,132
"391",251,0.80604192886,29,6,138,132,1,282,3,132
"392",252,0.58635254139324,30,7,138,131,1,282,3,132
"393",253,0.475569432207185,31,7,138,131,1,282,3,132
"394",254,0.427449407031555,31,8,138,130,1,282,3,132
"395",255,0.405250265664732,31,8,138,130,1,282,3,132
"396",256,0.409428317898235,31,8,138,130,1,282,3,132
"397",257,0.425383859933263,32,8,62,54,1,282,3,132
"398",257,0.156578767057522,65,62,142,80,1,282,3,132
"399",258,0.427680917125553,32,8,62,54,1,282,1,122
"400",258,0.154574251876736,65,62,142,80,1,282,1,122
"401",259,0.427003721411491,34,8,62,54,1,282,1,122
"402",259,0.154288919966544,65,62,76,14,1,282,1,122
"403",259,0.111777989445645,77,76,142,66,1,282,1,122
"404",260,0.438051570072754,34,9,62,53,1,282,1,122
"405",260,0.152537028732835,65,62,76,14,1,282,1,122
"406",260,0.112267528754838,77,76,142,66,1,282,1,122
"407",261,0.454261956319593,33,9,62,53,1,282,1,122
"408",261,0.150532348752255,65,62,76,14,1,282,1,122
"409",261,0.112525316530168,78,76,142,66,1,282,1,122
"410",262,0.520719695214776,33,9,62,53,1,282,1,122
"411",262,0.150150282525874,65,62,75,13,1,282,1,122
"412",262,0.113948545392824,78,75,142,67,1,282,1,122
"413",263,0.645600733269508,33,9,62,53,1,282,1,122
"414",263,0.148497314502595,65,62,75,13,1,282,1,122
"415",263,0.114708010179444,78,75,142,67,1,282,1,122
"416",264,0.918784320432161,33,9,62,53,1,282,1,122
"417",264,0.146491199166032,65,62,75,13,1,282,1,122
"418",264,0.11478652942915,78,75,142,67,1,282,1,122
"419",265,1.0266937886191,33,8,130,122,1,282,1,122
"420",266,1.01701209059511,34,8,130,122,1,282,1,122
"421",267,1.01794069867031,33,9,130,121,1,282,1,122
"422",268,1.01968396129845,34,9,130,121,1,282,1,122
"423",269,1.02504630786914,33,9,130,121,1,282,1,122
"424",270,1.00765956086251,33,10,130,120,1,282,1,122
"425",271,0.867836010558847,32,11,130,119,1,282,1,122
"426",272,0.628643861682058,32,13,130,117,1,282,1,122
"427",273,0.498214204531129,32,10,64,54,1,282,1,122
"428",273,0.140810314380858,67,64,114,50,1,282,1,122
"429",274,0.449854947587073,32,10,64,54,1,282,1,122
"430",274,0.143880345609217,66,64,114,50,1,282,1,122
"431",275,0.422271585841249,31,10,64,54,1,282,1,122
"432",275,0.149187766092338,65,64,114,50,1,282,1,122
"433",276,0.407509815939023,31,10,63,53,1,282,1,122
"434",276,0.153470918340153,65,63,114,51,1,282,1,122
"435",277,0.386920013338645,30,10,63,53,1,282,1,122
"436",277,0.154886299635896,65,63,114,51,1,282,1,122
"437",278,0.375287197609783,29,9,63,54,1,282,2,155
"438",278,0.153248116379437,65,63,114,51,1,282,2,155
"439",279,0.367066645630354,29,9,63,54,1,282,2,155
"440",279,0.151173833638768,64,63,104,41,1,282,2,155
"441",280,0.363134673554008,27,9,63,54,1,282,2,155
"442",280,0.149255611785002,64,63,103,40,1,282,2,155
"443",281,0.394959504997958,26,9,162,153,1,282,2,155
"444",282,0.45156238577454,26,8,162,154,1,282,2,155
"445",283,0.585716452316994,24,7,162,155,1,282,2,155
"446",284,0.730661380259312,23,6,48,42,1,282,2,155
"447",284,0.181601351738316,52,48,162,114,1,282,2,155
"448",285,0.797224835927383,21,6,48,42,1,282,2,155
"449",285,0.174460448999379,53,48,162,114,1,282,2,155
"450",286,0.735788753562781,21,6,49,43,1,282,2,155
"451",286,0.166962769548677,54,49,162,113,1,282,2,155
"452",287,0.577177181880342,21,6,50,44,1,282,2,155
"453",287,0.162459427792251,55,50,95,45,1,282,2,155
"454",288,0.440708620540301,20,6,50,44,1,282,2,155
"455",288,0.16012344385167,56,50,94,44,1,282,2,155
"456",289,0.346708059762641,20,5,53,48,1,282,2,155
"457",289,0.153669533046801,57,53,97,44,1,282,2,155
"458",290,0.32684590630006,20,6,53,47,1,282,2,155
"459",290,0.163637008220803,59,53,97,44,1,282,2,155
"460",291,0.301958672503993,20,6,53,47,1,282,2,155
"461",291,0.178748443839749,59,53,97,44,1,282,2,155
"462",292,0.287666097546181,20,5,53,48,1,282,2,155
"463",292,0.189689545926369,59,53,97,44,1,282,2,155
"464",293,0.280642855069465,19,4,32,28,1,282,2,155
"465",293,0.230185825993999,35,32,53,21,1,282,2,155
"466",293,0.189689600480166,59,53,97,44,1,282,2,155
"467",294,0.273573407167427,19,2,32,30,1,282,2,155
"468",294,0.224759211083996,36,32,53,21,1,282,2,155
"469",294,0.178746033864917,59,53,97,44,1,282,2,155
"470",295,0.257418393177822,18,3,32,29,1,282,2,155
"471",295,0.21666860939577,38,32,53,21,1,282,2,155
"472",295,0.163632970811137,59,53,97,44,1,282,2,155
"473",296,0.24173752622629,19,5,32,27,1,282,2,155
"474",296,0.215043946744073,39,32,53,21,1,282,2,155
"475",296,0.153658055355317,57,53,97,44,1,282,2,155
"476",297,0.239578650870652,18,1,31,30,1,282,2,155
"477",297,0.204184518967656,38,31,52,21,1,282,2,155
"478",297,0.149670044606736,55,52,92,40,1,282,2,155
"479",298,0.253909953089408,17,1,32,31,1,282,2,155
